algo,N,mean_pulls,std_pulls
Hillel-BAI,10,1735.0,725.0
Hillel-BAI,20,1820.0,720.0
Hillel-BAI,30,2505.0,105.0
Hillel-BAI,40,2580.0,100.0
Hillel-BAI,50,1700.0,850.0
EigenTree-BAI,10,1735.0,915.0
EigenTree-BAI,20,1620.0,920.0
EigenTree-BAI,30,825.0,105.0
EigenTree-BAI,40,1000.0,0.0
EigenTree-BAI,50,2350.0,0.0
