algo,N,mean_pulls,std_pulls
Hillel-BAI,10,9436.0,7936.942988329953
Hillel-BAI,20,7041.6,3990.6687960791733
Hillel-BAI,30,7805.4,3957.3113145164607
Hillel-BAI,40,9285.6,3768.1614402782693
Hillel-BAI,50,9460.0,3611.0247852929506
EigenTree-BAI,10,7485.2,4035.456970406202
EigenTree-BAI,20,8811.2,3645.126412074072
EigenTree-BAI,30,8017.2,4021.2649949984648
EigenTree-BAI,40,8948.8,3728.2750113155553
EigenTree-BAI,50,9674.0,3890.555744363522
