algo,N,mean_pulls,std_pulls
Hillel-BAI,10,7567.4,3941.268227360325
Hillel-BAI,20,8649.6,6063.170444577657
Hillel-BAI,30,7932.6,4273.146292838568
Hillel-BAI,40,8244.8,3818.6543389000267
Hillel-BAI,50,8162.0,4093.63603658166
EigenTree-BAI,10,8495.8,3991.8111628683037
EigenTree-BAI,20,7575.6,6614.220183816079
EigenTree-BAI,30,9173.4,5962.8508651483135
EigenTree-BAI,40,9618.4,6477.180670631319
EigenTree-BAI,50,9504.0,6241.785321524604
