algo,N,mean_pulls,std_pulls
Hillel-BAI,10,8880.8,6358.607658914017
Hillel-BAI,20,8836.4,4115.4259852413825
Hillel-BAI,30,8503.8,6623.250528252725
Hillel-BAI,40,7828.8,4044.4572639601474
Hillel-BAI,50,9193.0,6310.847882812578
EigenTree-BAI,10,9175.2,3639.927054214136
EigenTree-BAI,20,8314.8,3857.8352686448393
EigenTree-BAI,30,8097.0,3661.97282895436
EigenTree-BAI,40,9961.6,6292.110412254382
EigenTree-BAI,50,9482.0,3805.689950587147
