src,dst,is_tree_edge
0,5,0
1,0,1
6,1,1
1,2,0
7,2,1
2,3,0
8,3,1
3,4,0
9,4,1
5,10,0
6,5,1
6,11,0
7,6,1
12,7,1
7,8,0
13,8,1
8,9,1
9,14,0
10,15,0
11,10,1
11,16,1
12,11,1
12,17,1
12,13,1
13,18,1
13,14,1
14,19,0
15,20,1
16,15,1
16,21,1
16,17,0
17,22,1
17,18,0
18,23,1
18,19,1
19,24,1
20,21,0
21,22,0
22,23,0
23,24,0
