algo,N,mean_pulls,std_pulls
Hillel-BAI,10,8342.2,578.1056851476208
Hillel-BAI,20,7702.0,573.2956654292791
Hillel-BAI,30,8810.4,887.338310228968
Hillel-BAI,40,8568.0,927.4073969944385
Hillel-BAI,50,9953.0,856.5213482453313
EigenTree-BAI,10,8342.2,578.1056851476206
EigenTree-BAI,20,7702.0,573.2956654292791
EigenTree-BAI,30,8810.4,887.3383102289679
EigenTree-BAI,40,8568.0,927.4073969944385
EigenTree-BAI,50,9953.0,856.5213482453313
