family,N,graph_idx,rounds_cold,rounds_warm
er,200,7,9,8
er,200,8,9,8
er,200,9,9,8
er,200,10,9,8
er,200,11,9,8
er,200,12,9,8
er,200,13,9,8
er,200,14,9,8
er,200,15,9,8
er,200,16,9,8
er,200,17,9,8
er,200,18,9,8
er,200,19,9,8
er,200,20,9,8
er,200,21,9,8
er,200,22,9,8
er,200,23,9,8
er,200,24,9,8
er,200,25,9,8
er,200,26,9,8
er,200,27,9,8
er,200,28,9,8
er,200,29,9,8
sparse_er,20,0,21,21
sparse_er,20,1,19,18
sparse_er,20,2,21,20
sparse_er,20,3,17,17
sparse_er,20,4,20,18
sparse_er,20,5,20,17
sparse_er,20,6,16,16
sparse_er,20,7,22,22
sparse_er,20,8,19,16
sparse_er,20,9,19,16
sparse_er,20,10,21,19
sparse_er,20,11,17,17
sparse_er,20,12,22,19
sparse_er,20,13,18,18
sparse_er,20,14,19,17
sparse_er,20,15,19,19
sparse_er,20,16,23,21
sparse_er,20,17,22,20
sparse_er,20,18,21,19
sparse_er,20,19,19,17
sparse_er,20,20,21,20
sparse_er,20,21,23,21
sparse_er,20,22,20,16
sparse_er,20,23,22,22
sparse_er,20,24,20,21
sparse_er,20,25,19,18
sparse_er,20,26,22,19
sparse_er,20,27,21,18
sparse_er,20,28,21,19
sparse_er,20,29,22,20
sparse_er,40,0,27,23
sparse_er,40,1,24,22
sparse_er,40,2,26,23
sparse_er,40,3,31,29
sparse_er,40,4,30,29
sparse_er,40,5,24,22
sparse_er,40,6,27,26
sparse_er,40,7,26,25
sparse_er,40,8,28,25
sparse_er,40,9,26,23
sparse_er,40,10,23,23
sparse_er,40,11,26,23
sparse_er,40,12,25,23
sparse_er,40,13,27,25
sparse_er,40,14,25,24
sparse_er,40,15,24,23
sparse_er,40,16,25,23
sparse_er,40,17,26,25
sparse_er,40,18,24,24
sparse_er,40,19,26,21
sparse_er,40,20,22,23
sparse_er,40,21,24,24
sparse_er,40,22,22,24
sparse_er,40,23,25,22
sparse_er,40,24,26,23
sparse_er,40,25,23,21
sparse_er,40,26,24,23
sparse_er,40,27,23,22
sparse_er,40,28,22,22
sparse_er,40,29,25,23
sparse_er,60,0,28,28
sparse_er,60,1,27,25
sparse_er,60,2,27,24
sparse_er,60,3,25,22
sparse_er,60,4,28,25
sparse_er,60,5,26,26
sparse_er,60,6,28,26
sparse_er,60,7,28,27
sparse_er,60,8,27,24
sparse_er,60,9,23,22
sparse_er,60,10,27,23
sparse_er,60,11,27,24
sparse_er,60,12,28,24
sparse_er,60,13,25,25
sparse_er,60,14,30,26
sparse_er,60,15,27,26
sparse_er,60,16,24,24
sparse_er,60,17,30,33
sparse_er,60,18,27,23
sparse_er,60,19,26,24
sparse_er,60,20,25,22
sparse_er,60,21,27,25
sparse_er,60,22,29,26
sparse_er,60,23,24,25
sparse_er,60,24,24,21
sparse_er,60,25,27,23
sparse_er,60,26,25,22
sparse_er,60,27,26,25
sparse_er,60,28,23,23
sparse_er,60,29,26,23
sparse_er,80,0,27,27
sparse_er,80,1,29,23
sparse_er,80,2,29,26
sparse_er,80,3,25,23
sparse_er,80,4,28,26
sparse_er,80,5,30,27
sparse_er,80,6,26,24
sparse_er,80,7,32,26
sparse_er,80,8,29,26
sparse_er,80,9,25,24
sparse_er,80,10,27,27
sparse_er,80,11,31,31
sparse_er,80,12,29,27
sparse_er,80,13,29,26
sparse_er,80,14,28,25
sparse_er,80,15,28,24
sparse_er,80,16,25,22
sparse_er,80,17,29,27
sparse_er,80,18,29,25
sparse_er,80,19,29,24
sparse_er,80,20,26,23
sparse_er,80,21,33,28
sparse_er,80,22,31,29
sparse_er,80,23,27,23
sparse_er,80,24,29,23
sparse_er,80,25,26,24
sparse_er,80,26,28,25
sparse_er,80,27,27,26
sparse_er,80,28,28,26
sparse_er,80,29,28,24
sparse_er,100,0,28,29
sparse_er,100,1,28,25
sparse_er,100,2,27,25
sparse_er,100,3,28,26
sparse_er,100,4,29,25
sparse_er,100,5,30,27
sparse_er,100,6,30,27
sparse_er,100,7,27,26
sparse_er,100,8,27,27
sparse_er,100,9,31,26
sparse_er,100,10,28,24
sparse_er,100,11,31,28
sparse_er,100,12,29,27
sparse_er,100,13,28,31
sparse_er,100,14,29,31
sparse_er,100,15,29,25
sparse_er,100,16,26,24
sparse_er,100,17,24,23
sparse_er,100,18,27,26
sparse_er,100,19,27,25
sparse_er,100,20,29,26
sparse_er,100,21,28,25
sparse_er,100,22,29,27
sparse_er,100,23,28,24
sparse_er,100,24,27,26
sparse_er,100,25,25,25
sparse_er,100,26,28,27
sparse_er,100,27,28,26
sparse_er,100,28,28,26
sparse_er,100,29,28,28
sparse_er,120,0,29,26
sparse_er,120,1,29,27
sparse_er,120,2,26,25
sparse_er,120,3,29,27
sparse_er,120,4,29,26
sparse_er,120,5,29,26
sparse_er,120,6,27,25
sparse_er,120,7,28,26
sparse_er,120,8,27,25
sparse_er,120,9,30,26
sparse_er,120,10,31,24
sparse_er,120,11,29,25
sparse_er,120,12,27,24
sparse_er,120,13,29,28
sparse_er,120,14,29,26
sparse_er,120,15,29,27
sparse_er,120,16,28,26
sparse_er,120,17,27,25
sparse_er,120,18,27,25
sparse_er,120,19,28,27
sparse_er,120,20,29,28
sparse_er,120,21,27,25
sparse_er,120,22,29,26
sparse_er,120,23,30,25
sparse_er,120,24,27,24
sparse_er,120,25,33,30
sparse_er,120,26,27,26
sparse_er,120,27,27,25
sparse_er,120,28,31,27
sparse_er,120,29,28,26
sparse_er,140,0,29,27
sparse_er,140,1,31,29
sparse_er,140,2,31,27
sparse_er,140,3,27,24
sparse_er,140,4,29,26
sparse_er,140,5,31,28
sparse_er,140,6,27,24
sparse_er,140,7,31,27
sparse_er,140,8,30,26
sparse_er,140,9,30,25
sparse_er,140,10,30,26
sparse_er,140,11,32,28
sparse_er,140,12,29,26
sparse_er,140,13,29,26
sparse_er,140,14,28,26
sparse_er,140,15,27,25
