algo,t,mean_group,std_group,mean_hub,std_hub,cum_pulls
Central-UCB,1,0.0,0.0,0.0,0.0,0.0
Central-UCB,2,5.416666666666667,0.23570226039551584,0.16666666666666666,0.11785113019775792,20.0
Central-UCB,3,5.416666666666667,0.23570226039551584,0.16666666666666666,0.11785113019775792,21.0
Central-UCB,4,5.416666666666667,0.23570226039551584,0.16666666666666666,0.11785113019775792,40.0
Central-UCB,5,5.416666666666667,0.23570226039551584,0.16666666666666666,0.11785113019775792,41.0
Central-UCB,6,5.416666666666667,0.23570226039551584,0.16666666666666666,0.11785113019775792,60.0
Central-UCB,7,5.5,0.2041241452319315,0.25,0.2041241452319315,61.0
Central-UCB,8,7.083333333333333,2.2484562605386738,0.25,0.2041241452319315,80.0
Central-UCB,9,7.166666666666667,2.1826334756181325,0.3333333333333333,0.23570226039551584,81.0
Central-UCB,10,8.75,2.1213203435596424,0.3333333333333333,0.23570226039551584,100.0
Central-UCB,11,8.75,2.1213203435596424,0.3333333333333333,0.23570226039551584,101.0
Central-UCB,12,8.75,2.1213203435596424,0.3333333333333333,0.23570226039551584,120.0
Central-UCB,13,9.0,2.131118642090737,0.5833333333333334,0.31180478223116176,121.0
Central-UCB,14,10.583333333333334,0.23570226039551584,0.5833333333333334,0.31180478223116176,140.0
Central-UCB,15,10.583333333333334,0.23570226039551584,0.5833333333333334,0.31180478223116176,141.0
Central-UCB,16,10.583333333333334,0.23570226039551584,0.5833333333333334,0.31180478223116176,160.0
Central-UCB,17,10.666666666666666,0.31180478223116176,0.6666666666666666,0.23570226039551584,161.0
Central-UCB,18,10.666666666666666,0.31180478223116176,0.6666666666666666,0.23570226039551584,180.0
Central-UCB,19,10.916666666666666,0.31180478223116176,0.9166666666666666,0.42491829279939874,181.0
Central-UCB,20,15.666666666666666,3.991310004942682,0.9166666666666666,0.42491829279939874,200.0
Central-UCB,21,15.75,3.8944404818493075,1.0,0.3535533905932738,201.0
Central-UCB,22,17.333333333333332,2.435273199367076,1.0,0.3535533905932738,220.0
Central-UCB,23,17.333333333333332,2.435273199367076,1.0,0.3535533905932738,221.0
Central-UCB,24,20.5,4.188277291043021,1.0,0.3535533905932738,240.0
Central-UCB,25,20.666666666666668,4.204825270514288,1.1666666666666667,0.5892556509887895,241.0
Central-UCB,26,20.666666666666668,4.204825270514288,1.1666666666666667,0.5892556509887895,260.0
Central-UCB,27,20.666666666666668,4.204825270514288,1.1666666666666667,0.5892556509887895,261.0
Central-UCB,28,20.666666666666668,4.204825270514288,1.1666666666666667,0.5892556509887895,280.0
Central-UCB,29,20.666666666666668,4.204825270514288,1.1666666666666667,0.5892556509887895,281.0
Central-UCB,30,20.666666666666668,4.204825270514288,1.1666666666666667,0.5892556509887895,300.0
Central-UCB,31,20.833333333333332,4.234448671970833,1.3333333333333333,0.8249579113843055,301.0
Central-UCB,32,20.833333333333332,4.234448671970833,1.3333333333333333,0.8249579113843055,320.0
