t,group_regret
1,0.0
2,7.111111111111112
3,7.111111111111112
4,7.111111111111112
5,7.222222222222223
6,7.222222222222223
7,7.222222222222223
8,18.333333333333336
9,18.333333333333336
10,18.333333333333336
11,19.000000000000004
12,19.000000000000004
13,19.000000000000004
14,36.77777777777777
15,36.77777777777777
16,36.77777777777777
17,36.888888888888886
18,36.888888888888886
19,36.888888888888886
20,39.111111111111114
21,39.111111111111114
22,39.111111111111114
23,39.111111111111114
24,39.111111111111114
25,39.111111111111114
26,45.77777777777777
27,45.77777777777777
28,45.77777777777777
29,46.77777777777777
30,46.77777777777777
31,46.77777777777777
32,66.77777777777777
33,66.77777777777777
34,66.77777777777777
35,67.44444444444444
36,67.44444444444444
37,67.44444444444444
38,69.66666666666666
39,69.66666666666666
40,69.66666666666666
41,69.66666666666666
42,69.66666666666666
43,69.66666666666666
44,85.22222222222223
45,85.22222222222223
46,85.22222222222223
47,85.66666666666667
48,85.66666666666667
49,85.66666666666667
50,94.55555555555557
51,94.55555555555557
52,94.55555555555557
53,94.7777777777778
54,94.7777777777778
55,94.7777777777778
56,99.22222222222223
57,99.22222222222223
58,99.22222222222223
59,99.22222222222223
60,99.22222222222223
61,99.22222222222223
62,99.22222222222223
63,99.22222222222223
64,99.22222222222223
65,99.33333333333334
66,99.33333333333334
67,99.33333333333334
68,101.55555555555556
69,101.55555555555556
70,101.55555555555556
71,101.77777777777779
72,101.77777777777779
73,101.77777777777779
74,115.11111111111114
75,115.11111111111114
76,115.11111111111114
77,115.33333333333336
78,115.33333333333336
79,115.33333333333336
80,117.55555555555557
81,117.55555555555557
82,117.55555555555557
83,117.7777777777778
84,117.7777777777778
85,117.7777777777778
86,122.22222222222223
87,122.22222222222223
88,122.22222222222223
89,122.77777777777779
90,122.77777777777779
91,122.77777777777779
92,133.8888888888889
93,133.8888888888889
94,133.8888888888889
95,134.0
96,134.0
97,134.0
98,147.33333333333331
99,147.33333333333331
100,147.33333333333331
101,147.55555555555554
102,147.55555555555554
103,147.55555555555554
104,152.00000000000003
105,152.00000000000003
106,152.00000000000003
107,152.11111111111114
108,152.11111111111114
109,152.11111111111114
110,154.33333333333337
111,154.33333333333337
112,154.33333333333337
113,154.6666666666667
114,154.6666666666667
115,154.6666666666667
116,161.33333333333337
117,161.33333333333337
118,161.33333333333337
119,161.44444444444449
120,161.44444444444449
121,161.44444444444449
122,163.66666666666669
123,163.66666666666669
124,163.66666666666669
125,163.77777777777783
126,163.77777777777783
127,163.77777777777783
128,166.00000000000006
129,166.00000000000006
130,166.00000000000006
131,166.11111111111114
132,166.11111111111114
133,166.11111111111114
134,168.33333333333337
135,168.33333333333337
136,168.33333333333337
137,168.44444444444446
138,168.44444444444446
139,168.44444444444446
140,170.66666666666669
141,170.66666666666669
142,170.66666666666669
143,170.8888888888889
144,170.8888888888889
145,170.8888888888889
146,173.11111111111114
147,173.11111111111114
148,173.11111111111114
149,173.33333333333337
150,173.33333333333337
151,173.33333333333337
152,177.77777777777777
153,177.77777777777777
154,177.77777777777777
155,178.55555555555554
156,178.55555555555554
157,178.55555555555554
158,180.77777777777774
159,180.77777777777774
160,180.77777777777774
161,180.88888888888889
162,180.88888888888889
163,180.88888888888889
164,183.1111111111111
165,183.1111111111111
166,183.1111111111111
167,183.22222222222217
168,183.22222222222217
169,183.22222222222217
170,185.4444444444444
171,185.4444444444444
172,185.4444444444444
173,185.88888888888886
174,185.88888888888886
175,185.88888888888886
176,194.77777777777777
177,194.77777777777777
178,194.77777777777777
179,194.88888888888889
180,194.88888888888889
