src,dst,is_tree_edge
0,3,1
0,5,0
1,2,0
1,3,1
1,5,0
2,3,1
2,4,0
3,5,1
3,9,1
4,20,1
6,8,0
6,9,1
6,11,0
7,8,0
7,9,1
7,10,0
8,9,1
8,10,1
8,11,1
9,13,1
10,11,0
12,14,0
12,15,1
12,17,0
13,14,0
13,15,1
13,16,0
13,17,0
14,15,1
14,17,0
15,16,1
15,17,1
15,23,1
18,21,0
18,22,0
18,23,1
19,21,1
19,22,1
19,23,1
20,22,0
20,23,1
21,22,0
