algo,N,mean_pulls,std_pulls
Hillel-BAI,10,8300.16,4196.9629894007885
Hillel-BAI,20,8921.28,6458.042474434495
Hillel-BAI,30,8279.0,4036.2679544351363
Hillel-BAI,40,8629.2,6244.92924539582
Hillel-BAI,50,8750.42,3940.2226895950944
EigenTree-BAI,10,8477.82,3681.430166063184
EigenTree-BAI,20,8703.04,3954.5260396664476
EigenTree-BAI,30,7838.5,4154.052870390554
EigenTree-BAI,40,8403.12,6412.682698028961
EigenTree-BAI,50,9382.52,3626.109122682328
