algo,N,mean_pulls,std_pulls
Hillel-BAI,10,1993.2,236.86205943544442
Hillel-BAI,20,1645.2,124.0345887242748
Hillel-BAI,30,1769.4,196.4475319264663
Hillel-BAI,40,1728.8,127.4904357197041
Hillel-BAI,50,1593.0,132.39342883995414
EigenTree-BAI,10,1407.6,119.93049987388528
EigenTree-BAI,20,1620.8,122.67675900511881
EigenTree-BAI,30,1686.0,122.1615324068915
EigenTree-BAI,40,1643.2,121.66756017936746
EigenTree-BAI,50,1622.0,127.84490603852778
