src,dst,is_tree_edge
0,5,0
0,1,1
1,6,1
1,2,0
2,7,1
2,3,0
3,8,1
3,4,1
4,9,0
5,10,0
5,6,1
6,11,0
6,7,1
7,12,1
7,8,1
8,13,0
8,9,1
9,14,0
10,15,0
10,11,1
11,16,1
11,12,1
12,17,1
12,13,1
13,18,0
13,14,1
14,19,0
15,20,1
15,16,1
16,21,1
16,17,0
17,22,1
17,18,1
18,23,1
18,19,1
19,24,0
20,21,0
21,22,0
22,23,0
23,24,1
