algo,N,mean_pulls,std_pulls
Hillel-BAI,10,40510.4,2397.801358911951
Hillel-BAI,20,39546.0,2541.2858005348394
Hillel-BAI,30,41072.4,3890.0300107839785
Hillel-BAI,40,41602.4,2461.3602509181787
Hillel-BAI,50,42456.0,2372.6721813179333
EigenTree-BAI,10,36524.4,2684.0160530071353
EigenTree-BAI,20,39238.0,2596.605553410067
EigenTree-BAI,30,35162.4,2413.699079172878
EigenTree-BAI,40,39012.8,2237.952904598307
EigenTree-BAI,50,38788.0,2477.021824691902
