t,group_regret
1,0.0
2,7.222222222222223
3,7.222222222222223
4,7.222222222222223
5,8.222222222222223
6,8.222222222222223
7,8.222222222222223
8,21.555555555555557
9,21.555555555555557
10,21.555555555555557
11,21.555555555555557
12,21.555555555555557
13,21.555555555555557
14,28.22222222222223
15,28.22222222222223
16,28.22222222222223
17,28.44444444444445
18,28.44444444444445
19,28.44444444444445
20,28.44444444444445
21,28.44444444444445
22,28.44444444444445
23,28.555555555555557
24,28.555555555555557
25,28.555555555555557
26,33.0
27,33.0
28,33.0
29,33.55555555555556
30,33.55555555555556
31,33.55555555555556
32,53.55555555555556
33,53.55555555555556
34,53.55555555555556
35,54.111111111111114
36,54.111111111111114
37,54.111111111111114
38,65.22222222222223
39,65.22222222222223
40,65.22222222222223
41,65.33333333333334
42,65.33333333333334
43,65.33333333333334
44,83.11111111111113
45,83.11111111111113
46,83.11111111111113
47,83.11111111111113
48,83.11111111111113
49,83.11111111111113
50,83.11111111111113
51,83.11111111111113
52,83.11111111111113
53,83.11111111111113
54,83.11111111111113
55,83.11111111111113
56,83.11111111111113
57,83.11111111111113
58,83.11111111111113
59,83.55555555555557
60,83.55555555555557
61,83.55555555555557
62,83.55555555555557
63,83.55555555555557
64,83.55555555555557
65,83.66666666666669
66,83.66666666666669
67,83.66666666666669
68,85.88888888888887
69,85.88888888888887
70,85.88888888888887
71,85.88888888888887
72,85.88888888888887
73,85.88888888888887
74,85.88888888888887
75,85.88888888888887
76,85.88888888888887
77,86.44444444444444
78,86.44444444444444
79,86.44444444444444
80,97.55555555555554
81,97.55555555555554
82,97.55555555555554
83,98.33333333333331
84,98.33333333333331
85,98.33333333333331
86,107.22222222222219
87,107.22222222222219
88,107.22222222222219
89,107.3333333333333
90,107.3333333333333
91,107.3333333333333
92,107.3333333333333
93,107.3333333333333
94,107.3333333333333
95,107.3333333333333
96,107.3333333333333
97,107.3333333333333
98,107.3333333333333
99,107.3333333333333
100,107.3333333333333
101,107.55555555555553
102,107.55555555555553
103,107.55555555555553
104,112.0
105,112.0
106,112.0
107,112.0
108,112.0
109,112.0
110,112.0
111,112.0
112,112.0
113,112.0
114,112.0
115,112.0
116,112.0
117,112.0
118,112.0
119,112.11111111111111
120,112.11111111111111
121,112.11111111111111
122,112.11111111111111
123,112.11111111111111
124,112.11111111111111
125,112.44444444444444
126,112.44444444444444
127,112.44444444444444
128,123.55555555555557
129,123.55555555555557
130,123.55555555555557
131,123.55555555555557
132,123.55555555555557
133,123.55555555555557
134,123.55555555555557
135,123.55555555555557
136,123.55555555555557
137,123.55555555555557
138,123.55555555555557
139,123.55555555555557
140,123.55555555555557
141,123.55555555555557
142,123.55555555555557
