node,psi,pi,parent,depth,subtree_hub,degree,pos_x,pos_y,pos_tree_x,pos_tree_y
0,0.3501236318640192,0.12258655758965123,7,1,7,4,0.5214025777916328,0.3872560225628855,0.5,2.0
1,0.5542587635688744,0.3072027769928974,12,2,7,6,0.6351163820423523,-0.7357822696105788,7.5,4.0
2,0.4864912679487419,0.2366737537903746,7,1,7,5,-0.7650105186431402,-0.6721639260855801,1.5,2.0
3,0.8403648884455232,0.7062131457320566,5,2,7,9,-0.21696923141787172,0.43007660546147936,3.0,4.0
4,0.4989896087125049,0.24899062960305876,12,2,7,6,0.2118738469547919,-0.39021242985743027,8.5,4.0
5,0.7616422256429707,0.5800988798823778,7,1,7,8,0.5067357600430266,0.1042110196264309,3.0,2.0
6,0.6715721179664492,0.4510091096299424,7,1,7,7,0.12076558350344602,0.41922624564205496,4.5,2.0
7,1.0,1.0,-1,0,7,12,-0.2634561117133362,-0.34219326728646515,7.5,0.0
8,0.5770634882112475,0.3330022694265326,7,1,7,6,-0.6088004272901968,-0.3408218168059193,5.5,2.0
9,0.6443631337709337,0.4152038481630982,3,3,7,7,0.8424095900975416,0.4671080235161327,2.5,6.0
10,0.6118212176036686,0.3743252023100356,3,3,7,7,0.9583338535419221,0.17169028082869783,3.5,6.0
11,0.4464740251052265,0.19933905509366243,7,1,7,5,-0.06720735325752072,0.8518112480605691,6.5,2.0
12,0.8022991400613635,0.6436839101432034,7,1,7,9,-0.15115467059563512,-0.10577108984889849,8.5,2.0
13,0.2865906167902218,0.08213418163219977,12,2,7,3,-0.5410309941574397,0.8931574429659332,9.5,4.0
14,0.564663696867568,0.31884509056014876,7,1,7,6,-0.028805011924553155,-0.8745983886490486,10.5,2.0
15,0.580316555135348,0.33676730416415734,7,1,7,6,-1.0,0.3030750322812497,11.5,2.0
16,0.5091153452071775,0.25919843472542353,9,4,7,7,0.19702668757001351,-0.12081506874903898,2.5,8.0
17,0.6696796335688929,0.4484708116169667,7,1,7,7,-0.9953491045451878,-0.0969519009557248,12.5,2.0
18,0.7427403755724675,0.5516632655055301,7,1,7,8,-0.22305927572280437,0.062336414946037054,13.5,2.0
19,0.5451142819800538,0.29714958041862966,7,1,7,6,0.8671784177229587,-0.4106381780427868,14.5,2.0
