algo,N,mean_pulls,std_pulls
Hillel-BAI,10,8342.2,578.1056851476206
Hillel-BAI,20,7702.0,573.2956654292791
Hillel-BAI,30,8810.4,887.338310228968
Hillel-BAI,40,8568.0,927.4073969944385
Hillel-BAI,50,9953.0,856.5213482453313
EigenTree-BAI,10,7356.6,608.0055006330123
EigenTree-BAI,20,8302.4,566.9295942178358
EigenTree-BAI,30,7480.8,590.2248276716255
EigenTree-BAI,40,7822.4,627.4694931229725
EigenTree-BAI,50,8966.0,554.1578114580719
