node,psi,pi,parent,depth,subtree_hub,degree,pos_x,pos_y,pos_tree_x,pos_tree_y
0,1.0,1.0,-1,0,0,2,1.0,0.0,0.5,0.0
1,1.0,1.0,-1,-1,1,2,0.7071067811865476,0.7071067811865475,3.5,-2.0
2,1.0,1.0,-1,-1,2,2,6.123233995736766e-17,1.0,6.5,-2.0
3,1.0,1.0,-1,-1,3,2,-0.7071067811865475,0.7071067811865476,9.5,-2.0
4,1.0,1.0,-1,-1,4,2,-1.0,1.2246467991473532e-16,12.5,-2.0
5,1.0,1.0,-1,-1,5,2,-0.7071067811865477,-0.7071067811865475,15.5,-2.0
6,1.0,1.0,-1,-1,6,2,-1.8369701987210297e-16,-1.0,18.5,-2.0
7,1.0,1.0,-1,-1,7,2,0.7071067811865474,-0.7071067811865477,21.5,-2.0
